0,Skip,
1,Pass,"NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/functions/getIntroCardSeries
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/functions/getIntroCardSeries
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/functions/getIntroCardSeries
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/functions/getIntroCardSeries
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/_Installation/ouqbvKPD1F
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/_Installation/ouqbvKPD1F
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/_Installation/ouqbvKPD1F
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/_Installation/ouqbvKPD1F
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/LimitedFeatures
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/LimitedFeatures
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/LimitedFeatures
NSURL with HTTPs https://parse.fusion.com.au/parse-DEF/classes/LimitedFeatures
"
2,Skip,
3,Skip,
4,Skip,
5,Skip,
6,Undetect,
7,Skip,
8,Undetect,
9,Undetect,
