0,Skip,
1,Pass,"NSURL with HTTPs https://gpskeeper.popinfo.jp/api/2.0/location/upsert/iphone/0336d4fe-b255-46dc-94ef-9fe2190a24f0/
NSURL with HTTPs https://gpskeeper.popinfo.jp/api/2.0/location/upsert/iphone/0336d4fe-b255-46dc-94ef-9fe2190a24f0/
"
2,Skip,
3,Skip,
4,Skip,
5,Skip,
6,Undetect,
7,Skip,
8,Undetect,
9,Undetect,
10,Manual,
11,Undetect,
12,Skip,
13,Undetect,
14,Skip,
15,Skip,
16,Undetect,
17,Skip,
18,Skip,
19,Skip,
20,Undetect,
21,Undetect,"Use URL schemes with prefs://
Use URL schemes with smbcintgapp://
"
22,Manual,"Use CC_SHA1 with [""IOS"", ""3"", """"]
Use CC_SHA1 with [""DA "", ""3"", """"]
"
23,Skip,
24,Manual,"Make use of log function NSLogv with [""AdobeAnalytics event""eventEmpty"": ""nil"" ""]
"
