0,Skip,
1,Fail,"NSURL with HTTPs https://idmsa.apple.com.cn/appleauth/auth/authorize/signin
NSURL with HTTPs https://idmsa.apple.com.cn/appleauth/auth/authorize/signin
NSURL with HTTPs https://appleid.apple.com/auth/authorize
NSURL with HTTPs https://appleid.apple.com/auth/authorize
NSURL with HTTPs https://idmsa.apple.com/appleauth/auth/authorize/signin
NSURL with HTTPs https://idmsa.apple.com/appleauth/auth/authorize/signin
NSURL with HTTPs https://ssl.google-analytics.com/batch
NSURL with HTTPs https://ssl.google-analytics.com/batch
NSURL with HTTPs https://ssl.google-analytics.com/collect?dm=iPhone8%2C1&cid=8ba64f8f-9ee7-418f-ae18-062544acbf10&_u=.oKKDK9BL&cd1=00000000-0000-0000-0000-000000000000&a=1185105123&_v=mi3.1.4&cd=%E7%99%BB%E5%85%A5%E5%89%8D_%E6%88%91%E7%9A%84Richart%E5%B8%B3%E8%99%9F_%E6%9C%AA%E8%A8%AD%E5%AE%9A&sr=750x1334&cd6=0FFCC14E-B185-4DB1-98A8-A9FFDFB33E81&_crc=0&an=Richart&tid=UA-72250086-2&av=2.30.0&t=screenview&ul=zh-hant-us&v=1&ds=app&_s=14&aid=tw.com.taishinbank.richart&ht=1661405668331&qt=2639&z=8647210013654476907
NSURL with HTTPs https://ssl.google-analytics.com/collect?dm=iPhone8%2C1&cid=8ba64f8f-9ee7-418f-ae18-062544acbf10&_u=.oKKDK9BL&cd1=00000000-0000-0000-0000-000000000000&a=1185105123&_v=mi3.1.4&cd=%E7%99%BB%E5%85%A5%E5%89%8D_%E6%88%91%E7%9A%84Richart%E5%B8%B3%E8%99%9F_%E6%9C%AA%E8%A8%AD%E5%AE%9A&sr=750x1334&cd6=0FFCC14E-B185-4DB1-98A8-A9FFDFB33E81&_crc=0&an=Richart&tid=UA-72250086-2&av=2.30.0&t=screenview&ul=zh-hant-us&v=1&ds=app&_s=14&aid=tw.com.taishinbank.richart&ht=1661405668331&qt=2639&z=8647210013654476907
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/PushService/NoSecurity/registryDevice
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/PushService/NoSecurity/registryDevice
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/PushService/NoSecurity/registryDevice
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/PushService/NoSecurity/getUnreadCount
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/PushService/NoSecurity/getUnreadCount
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/PushService/NoSecurity/getUnreadCount
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/getVersion
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/getVersion
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/getVersion
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/UpdatedService/OpenUrl/isUpdated
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/UpdatedService/OpenUrl/isUpdated
NSURL with HTTPs https://mobile.richart.tw/TSDIB_restful/UpdatedService/OpenUrl/isUpdated
NSURL with HTTP http://10.13.114.81:9080/mfp/api
NSURL with HTTP http://10.13.114.81:9080/mfp/api
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api
NSURL with HTTP http://10.13.114.81:9080/mfp/api
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api/registration/v1/self
NSURL with HTTP http://10.13.114.81:9080/mfp/api
NSURL with HTTP http://10.13.114.81:9080/mfp/api
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTP http://10.13.114.81:9080/mfp/api/loguploader
NSURL with HTTPs https://ssl.google-analytics.com/batch
NSURL with HTTPs https://ssl.google-analytics.com/batch
"
2,Skip,
3,Skip,
4,Skip,
5,Skip,
6,Undetect,
7,Skip,
8,Undetect,
9,Undetect,
